	UMAP1	UMAP2
medtr_mappings/paired/SRR949264/abundance	6.72693	0.13905154
medtr_mappings/paired/SRR5217271/abundance	3.886932	-0.48785385
medtr_mappings/paired/SRR8093916/abundance	3.9006991	-0.9403981
medtr_mappings/paired/SRR5732303/abundance	-3.9242895	2.000039
medtr_mappings/paired/SRR5740860/abundance	6.5190554	-0.9758322
medtr_mappings/paired/ERR2193169/abundance	5.587279	-1.5463781
medtr_mappings/paired/SRR8093915/abundance	4.0466995	-0.6495044
medtr_mappings/paired/SRR2015994/abundance	8.998169	0.30310208
medtr_mappings/paired/SRR949253/abundance	5.654465	-0.2305828
medtr_mappings/paired/SRR949263/abundance	7.032719	0.23049895
medtr_mappings/paired/SRR5740861/abundance	7.372932	-1.2202238
medtr_mappings/paired/SRR5732302/abundance	3.1285393	-0.61864
medtr_mappings/paired/SRR2015992/abundance	9.1581135	0.4396179
medtr_mappings/paired/SRR5721240/abundance	4.9032373	-0.0124272965
medtr_mappings/paired/SRR7226327/abundance	-1.8651862	2.964955
medtr_mappings/paired/SRR3474211/abundance	4.418286	-1.0654502
medtr_mappings/paired/SRR7738219/abundance	-7.3230476	3.4053657
medtr_mappings/paired/SRR949265/abundance	6.747196	0.03521038
medtr_mappings/paired/SRR5217266/abundance	3.130076	0.028944658
medtr_mappings/paired/SRR7738224/abundance	-7.3752227	3.1676977
medtr_mappings/paired/ERR1830523/abundance	3.931653	-0.45086643
medtr_mappings/paired/SRR5217280/abundance	3.2738097	-0.56797564
medtr_mappings/paired/SRR5721264/abundance	-4.1743345	2.0267766
medtr_mappings/paired/SRR5721251/abundance	-3.071801	1.3152126
medtr_mappings/paired/SRR5721237/abundance	-3.983183	1.8821254
medtr_mappings/paired/SRR1523075/abundance	4.280003	0.11780566
medtr_mappings/paired/SRR5217276/abundance	3.5200963	0.28029343
medtr_mappings/paired/SRR949230/abundance	7.006932	0.31666076
medtr_mappings/paired/SRR2015993/abundance	9.112558	0.40410978
medtr_mappings/paired/SRR2015971/abundance	9.420574	-0.19023286
medtr_mappings/paired/SRR949229/abundance	7.0402846	0.40806478
medtr_mappings/paired/SRR5740867/abundance	6.9347363	-1.1518195
medtr_mappings/paired/SRR5217270/abundance	3.1083488	-0.4471458
medtr_mappings/paired/SRR2016000/abundance	9.401439	0.34152094
medtr_mappings/paired/SRR5721269/abundance	4.1923933	-0.18518178
medtr_mappings/paired/SRR5721266/abundance	4.0272026	-0.47445792
medtr_mappings/paired/SRR1975017/abundance	5.14048	-2.0755868
medtr_mappings/paired/SRR2016011/abundance	9.794452	-0.30041233
medtr_mappings/paired/SRR2016029/abundance	9.668536	-0.26912922
medtr_mappings/paired/SRR7822203/abundance	4.340393	-1.2187071
medtr_mappings/paired/SRR949252/abundance	5.582266	-0.2005284
medtr_mappings/paired/SRR2910688/abundance	6.6503534	-0.9039367
medtr_mappings/paired/SRR2016015/abundance	8.9611	0.19490132
medtr_mappings/paired/SRR5721250/abundance	4.300429	-0.5157154
medtr_mappings/paired/SRR2016030/abundance	9.648972	-0.4185687
medtr_mappings/paired/ERR1830528/abundance	3.5254426	0.002879802
medtr_mappings/paired/ERR2193166/abundance	5.5096517	-1.6906621
medtr_mappings/paired/SRR5721226/abundance	3.2050903	-0.20144705
medtr_mappings/paired/SRR8093922/abundance	4.4908767	-0.82044744
medtr_mappings/paired/SRR5732299/abundance	3.32142	-0.5113914
medtr_mappings/paired/SRR7738213/abundance	-6.1149364	3.376739
medtr_mappings/paired/SRR949247/abundance	6.619081	0.2945779
medtr_mappings/paired/SRR8093908/abundance	4.2472305	-0.9969023
medtr_mappings/paired/SRR2016008/abundance	9.635521	-0.21691711
medtr_mappings/paired/SRR949233/abundance	6.815805	0.5130784
medtr_mappings/paired/SRR949268/abundance	6.6436195	0.07209948
medtr_mappings/paired/SRR5721280/abundance	3.9536312	-0.6356839
medtr_mappings/paired/ERR1830520/abundance	3.3569255	0.08175447
medtr_mappings/paired/SRR2015965/abundance	9.798411	-0.6478252
medtr_mappings/paired/SRR2060977/abundance	2.1305168	0.23917995
medtr_mappings/paired/SRR2016022/abundance	10.168495	0.11036378
medtr_mappings/paired/ERR1830514/abundance	2.6890075	-0.20571922
medtr_mappings/paired/ERR2193171/abundance	5.775011	-1.6632568
medtr_mappings/paired/SRR6283650/abundance	2.8592083	0.20012331
medtr_mappings/paired/SRR949251/abundance	5.192163	-0.31011584
